Global_AMRscore,Global_AMRclass,Global_AMRgene,Global_VFscore,China_AMRscore,China_AMRclass,China_AMRgene,China_VFscore,Africa_AMRscore,Africa_AMRclass,Africa_AMRgene,Africa_VFscore,EU_AMRscore,EU_AMRclass,EU_AMRgene,EU_VFscore,USA_AMRscore,USA_AMRclass,USA_AMRgene,USA_VFscore
0.92,4.78,7.55,0.75,1.18,6.62,11.48,0.9,1.22,6.18,9.7,0.86,0.42,2.61,3.59,0.34,0.49,2.56,3.57,0.39
0.77,4.18,6.52,0.81,1.36,7.42,13.52,1.35,1.11,6.08,9.51,0.8,0.69,3.29,4.73,0.6,0.5,2.42,3.22,0.37
0.84,4.56,7.33,0.61,1.21,6.92,11.64,0.92,1.14,6.09,9.61,0.84,0.63,3.44,4.91,0.42,0.43,2.39,3.31,0.36
0.85,5.19,8.77,0.74,1.12,6.74,11.61,1.03,1.0,5.7,8.95,0.67,0.64,3.0,4.37,0.48,0.45,2.34,3.42,0.38
0.83,4.45,7.43,0.65,1.16,7.42,13.21,1.12,1.01,5.64,8.6,0.56,0.85,3.38,4.52,0.45,0.4,2.31,3.22,0.32
0.76,4.69,7.15,0.5,1.24,7.36,12.63,1.04,1.0,5.74,9.03,0.63,0.58,3.03,4.02,0.55,0.41,2.3,3.32,0.43
0.75,4.18,7.18,0.77,1.1,6.99,12.58,0.94,1.15,6.09,9.61,0.72,0.7,3.53,4.99,0.59,0.54,2.69,3.67,0.32
0.81,3.87,5.82,0.68,1.18,6.8,11.44,0.99,1.13,6.18,9.46,0.71,0.5,2.96,4.01,0.65,0.53,2.59,3.53,0.38
0.69,4.03,5.95,0.63,1.35,7.62,12.75,1.22,1.08,6.19,9.71,0.68,0.66,3.02,4.3,0.46,0.45,2.2,2.92,0.4
0.83,4.42,6.58,1.04,1.33,7.11,11.73,1.27,1.09,5.79,8.89,0.72,0.57,3.19,4.28,0.53,0.53,2.88,4.14,0.36
0.72,4.59,7.46,0.75,1.42,7.75,13.49,1.11,1.09,6.04,9.54,0.81,0.64,3.13,4.46,0.4,0.43,2.17,2.98,0.42
0.69,4.19,6.84,0.64,1.09,6.92,11.64,0.98,1.14,6.01,9.37,0.66,0.62,2.86,3.95,0.36,0.58,2.8,4.15,0.34
0.58,3.55,5.32,0.41,1.28,6.55,10.8,1.13,1.13,5.99,9.39,0.69,0.77,3.8,5.52,0.51,0.4,1.98,2.72,0.38
0.75,4.43,6.5,0.82,1.26,7.63,13.98,1.02,1.15,6.1,9.9,0.76,0.79,3.4,4.82,0.39,0.4,2.27,3.13,0.43
0.69,4.1,6.3,0.66,1.16,6.62,11.69,1.36,0.99,5.94,9.02,0.66,0.57,3.03,3.97,0.47,0.38,2.05,2.91,0.35
0.68,4.21,6.47,0.53,1.37,7.88,13.93,1.22,1.03,5.78,9.39,0.64,0.53,2.92,4.37,0.67,0.36,1.96,2.73,0.23
0.75,4.31,6.98,0.68,1.32,6.94,11.29,1.0,1.12,6.06,9.3,0.69,0.55,3.16,4.54,0.48,0.52,2.44,3.52,0.4
0.68,3.82,5.71,0.87,1.36,7.53,12.92,1.1,0.96,5.87,8.86,0.58,0.6,3.11,4.23,0.43,0.54,2.58,3.42,0.39
0.79,4.11,6.71,0.51,1.26,7.04,12.26,1.14,1.2,6.19,10.19,0.9,0.63,2.74,3.9,0.43,0.3,1.86,2.54,0.33
0.87,4.69,7.63,0.44,1.13,7.34,13.46,1.13,1.03,5.91,9.25,0.67,0.72,3.09,4.25,0.63,0.38,1.99,2.74,0.38
0.59,3.81,5.91,0.6,1.26,7.37,12.69,0.96,1.13,6.28,9.83,0.87,0.66,3.36,4.6,0.41,0.47,2.53,3.42,0.5
0.74,4.46,7.12,0.57,1.21,7.2,12.35,1.12,1.08,5.96,9.36,0.73,0.52,2.67,3.7,0.51,0.52,2.36,3.25,0.4
0.63,4.52,7.34,0.47,1.1,6.43,11.29,1.0,1.02,5.82,9.08,0.52,0.8,3.26,4.39,0.51,0.33,2.09,3.0,0.28
0.79,4.38,6.6,0.74,1.36,7.05,12.02,1.27,1.15,6.2,9.75,0.8,0.57,3.55,4.97,0.49,0.49,2.62,3.63,0.36
0.83,4.25,6.21,0.72,1.31,7.36,12.69,1.01,1.14,6.04,9.47,0.79,0.59,3.66,5.01,0.51,0.39,2.16,3.0,0.43
0.69,3.98,5.91,0.76,1.33,6.89,11.63,1.27,1.15,6.12,9.56,0.7,0.81,3.01,3.9,0.37,0.47,2.28,3.15,0.43
0.8,3.82,5.77,0.64,1.19,6.86,11.88,1.44,1.1,6.05,9.17,0.79,0.73,3.25,4.56,0.58,0.52,2.63,3.96,0.48
0.67,4.07,6.36,0.46,1.25,6.5,10.72,1.14,1.07,5.94,9.33,0.7,0.63,3.03,4.21,0.62,0.54,2.69,3.83,0.41
0.63,3.94,6.04,0.65,1.29,7.11,11.79,0.98,1.1,6.17,9.89,0.78,0.6,3.47,5.04,0.6,0.28,1.83,2.64,0.25
0.68,4.06,6.27,0.7,1.3,7.24,13.0,1.17,1.16,6.12,9.62,0.8,0.68,3.15,4.41,0.65,0.37,2.08,3.03,0.29
0.67,3.08,4.34,0.56,1.15,6.7,11.61,0.93,1.08,5.94,9.32,0.72,0.6,3.56,4.87,0.38,0.53,2.69,3.97,0.45
0.84,4.38,6.44,0.78,1.15,7.34,12.95,1.09,1.1,6.01,9.4,0.71,0.66,3.6,5.43,0.44,0.51,2.41,3.36,0.43
0.56,3.74,6.05,0.52,1.08,6.61,11.32,1.29,1.07,6.24,9.64,0.76,0.75,3.58,5.17,0.51,0.5,2.45,3.29,0.37
0.66,4.12,6.36,0.66,1.44,7.32,12.5,1.22,0.98,5.67,8.25,0.56,0.73,3.23,4.44,0.52,0.64,3.14,4.51,0.43
0.6,3.76,5.72,0.55,1.33,7.4,13.17,1.19,1.14,5.97,9.33,0.81,0.59,2.92,4.16,0.6,0.38,2.22,3.2,0.34
0.7,3.97,6.05,0.71,1.35,7.51,13.32,1.03,1.05,5.98,9.06,0.64,0.62,3.05,4.31,0.63,0.57,2.41,3.13,0.39
0.68,4.4,7.18,0.7,1.36,7.64,13.48,1.24,1.08,6.04,10.06,0.83,0.59,3.16,4.37,0.59,0.47,2.15,2.89,0.37
0.89,5.55,9.57,0.8,1.26,7.09,12.36,0.85,1.21,6.19,9.55,0.77,0.59,3.1,4.48,0.6,0.43,2.27,2.92,0.36
0.73,4.12,6.23,0.73,1.17,7.08,12.18,1.05,1.07,6.03,9.55,0.69,0.78,3.33,5.02,0.58,0.73,3.42,4.81,0.42
0.75,4.7,6.95,0.6,1.4,7.67,13.22,0.97,1.13,6.42,10.24,0.74,0.59,2.76,3.85,0.56,0.51,2.5,3.44,0.39
0.89,4.83,7.54,0.8,1.27,7.41,13.34,1.06,1.21,6.13,9.91,0.79,0.67,3.16,4.6,0.5,0.52,2.7,3.89,0.34
0.82,4.52,7.05,0.61,1.28,7.19,12.61,1.29,1.06,6.15,9.79,0.83,0.81,3.05,4.56,0.48,0.48,2.45,3.49,0.47
0.68,3.89,6.4,0.32,1.19,7.18,12.87,1.11,1.14,5.92,9.45,0.85,0.63,3.29,4.68,0.75,0.46,2.45,3.26,0.34
0.7,2.95,4.77,0.51,1.45,8.43,15.01,1.22,1.08,5.84,9.12,0.64,0.64,3.27,4.9,0.56,0.4,2.35,3.18,0.35
0.74,4.42,6.97,0.56,1.26,7.34,13.56,0.91,1.08,5.98,10.0,0.74,0.71,3.1,4.33,0.3,0.44,2.41,3.3,0.34
0.78,4.37,6.45,0.8,1.2,7.18,12.52,0.92,1.07,5.97,9.13,0.68,0.52,2.82,4.0,0.36,0.32,2.23,3.3,0.21
0.91,3.95,6.18,0.66,1.17,7.04,12.79,0.88,1.03,5.87,9.24,0.77,0.73,2.96,4.22,0.34,0.49,2.4,3.29,0.43
0.7,3.69,5.51,0.68,1.25,7.16,12.28,1.18,1.09,6.07,9.92,0.75,0.71,3.6,5.14,0.58,0.5,2.43,3.3,0.36
0.73,4.27,6.11,0.74,1.24,7.19,12.78,1.06,1.12,5.96,9.35,0.73,0.64,2.81,3.96,0.39,0.42,2.46,3.56,0.32
0.74,4.75,7.67,0.79,1.34,7.53,13.06,1.28,1.04,5.96,9.0,0.65,0.58,3.24,4.52,0.52,0.54,2.63,3.54,0.58
0.87,4.39,6.83,0.91,1.36,7.16,12.73,1.31,1.17,5.98,9.45,0.78,0.64,3.26,4.55,0.43,0.39,1.96,2.7,0.33
0.86,4.07,5.81,0.64,1.29,7.44,13.21,1.05,1.09,5.95,9.56,0.77,0.66,2.9,4.24,0.3,0.57,2.66,3.67,0.39
0.73,4.09,6.54,0.39,1.29,7.74,14.63,1.24,1.11,6.39,10.07,0.71,0.56,2.52,3.42,0.48,0.35,2.06,3.2,0.33
0.81,4.79,7.6,0.48,1.18,7.04,12.47,1.01,1.05,6.03,9.25,0.68,0.56,2.67,3.8,0.42,0.48,2.51,3.71,0.42
0.76,4.42,6.6,0.65,1.14,6.48,12.09,0.95,1.1,6.08,9.6,0.72,0.62,3.23,4.46,0.29,0.37,2.04,2.8,0.24
0.61,3.95,6.14,0.71,1.24,6.99,12.33,1.29,1.12,6.05,9.36,0.81,0.69,3.36,4.78,0.51,0.6,2.55,3.43,0.39
0.68,3.85,5.68,0.76,1.43,7.39,12.18,1.04,1.07,5.78,9.21,0.72,0.61,3.28,4.49,0.41,0.47,2.31,3.24,0.39
0.84,4.29,6.64,0.7,1.25,7.38,13.12,1.32,1.17,6.03,9.02,0.72,0.62,3.16,4.43,0.48,0.62,2.83,3.92,0.47
0.76,4.04,6.83,0.89,1.14,6.49,10.5,1.29,1.14,6.08,9.79,0.78,0.65,3.65,5.27,0.69,0.46,2.33,3.28,0.28
0.91,5.1,7.65,0.93,1.29,7.52,12.68,1.36,1.15,6.47,10.42,0.71,0.63,3.4,4.92,0.63,0.62,2.76,3.79,0.44
