Global_AMRscore,Global_AMRclass,Global_AMRgene,Global_VFscore,China_AMRscore,China_AMRclass,China_AMRgene,China_VFscore,Africa_AMRscore,Africa_AMRclass,Africa_AMRgene,Africa_VFscore,Europe_AMRscore,Europe_AMRclass,Europe_AMRgene,Europe_VFscore,USA_AMRscore,USA_AMRclass,USA_AMRgene,USA_VFscore
1.4613333333333334,5.962,8.240666666666666,1.2213333333333334,1.5406666666666666,6.206,8.095333333333333,2.31,1.2746666666666666,6.962,10.757333333333333,0.736,1.436,5.472,7.646,0.7706666666666667,1.596,6.112666666666667,8.543333333333333,0.978
1.4486666666666668,6.010666666666666,8.445333333333334,1.2226666666666666,1.5353333333333334,6.216,8.054666666666666,2.34,1.272,7.003333333333333,10.844,0.7346666666666667,1.47,5.734,8.203333333333333,0.788,1.574,5.979333333333333,8.437333333333333,0.974
1.454,5.979333333333333,8.312666666666667,1.2246666666666666,1.5353333333333334,6.140666666666666,7.996,2.338,1.2893333333333334,7.001333333333333,10.858,0.7446666666666667,1.4586666666666666,5.791333333333333,8.27,0.7286666666666667,1.5793333333333333,5.97,8.386666666666667,1.0166666666666666
1.4526666666666668,6.0,8.481333333333334,1.208,1.534,6.046666666666667,7.745333333333333,2.228666666666667,1.2913333333333334,7.008,10.836666666666666,0.7373333333333333,1.456,5.719333333333333,8.081333333333333,0.7366666666666667,1.5573333333333332,5.986666666666666,8.4,1.0033333333333334
1.46,5.994,8.288666666666666,1.33,1.538,6.1146666666666665,7.9093333333333335,2.308,1.276,6.924,10.689333333333334,0.7366666666666667,1.4726666666666666,5.764666666666667,8.195333333333334,0.7686666666666667,1.5586666666666666,6.054666666666667,8.540666666666667,0.978
1.446,5.911333333333333,8.333333333333334,1.264,1.5346666666666666,6.088666666666667,7.846,2.4246666666666665,1.292,6.984,10.802,0.732,1.4813333333333334,5.739333333333334,8.227333333333334,0.768,1.568,5.994666666666666,8.482,1.0153333333333334
1.4566666666666668,6.024666666666667,8.502666666666666,1.1993333333333334,1.5086666666666666,6.088666666666667,7.883333333333334,2.228666666666667,1.2706666666666666,6.991333333333333,10.831333333333333,0.7273333333333334,1.4626666666666666,5.733333333333333,8.198,0.7633333333333333,1.598,6.1353333333333335,8.692666666666666,1.0226666666666666
1.4166666666666667,5.9126666666666665,8.312666666666667,1.268,1.53,6.106,7.876666666666667,2.3146666666666667,1.2726666666666666,6.961333333333333,10.794666666666666,0.7333333333333333,1.4466666666666668,5.6033333333333335,7.938666666666666,0.7853333333333333,1.5826666666666667,6.007333333333333,8.506,0.9826666666666667
1.444,6.014,8.363333333333333,1.2033333333333334,1.5333333333333334,6.179333333333333,7.986666666666666,2.1706666666666665,1.2913333333333334,7.01,10.814666666666668,0.738,1.4633333333333334,5.697333333333333,8.064666666666668,0.792,1.5833333333333333,6.076,8.542666666666667,1.0673333333333332
1.43,5.816,8.022666666666666,1.188,1.5086666666666666,6.054,7.795333333333334,2.294,1.2773333333333334,6.980666666666667,10.812,0.7253333333333334,1.466,5.774,8.286,0.7573333333333333,1.638,6.179333333333333,8.734666666666667,1.002
